
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.124836 -0.35035  0 
-0.127789 -0.354354  0 
-0.130775 -0.358358  0 
-0.133796 -0.362362  0 
-0.136849 -0.366366  0 
-0.139936 -0.37037  0 
-0.141414 -0.372266  0 
-0.143118 -0.374374  0 
-0.14639 -0.378378  0 
-0.149697 -0.382382  0 
-0.153038 -0.386386  0 
-0.156414 -0.39039  0 
-0.159825 -0.394394  0 
-0.163271 -0.398398  0 
-0.166751 -0.402402  0 
-0.170267 -0.406406  0 
-0.173817 -0.41041  0 
-0.177402 -0.414414  0 
-0.181022 -0.418418  0 
-0.181818 -0.419291  0 
-0.18482 -0.422422  0 
-0.188695 -0.426426  0 
-0.192606 -0.43043  0 
-0.196554 -0.434434  0 
-0.200538 -0.438438  0 
-0.204559 -0.442442  0 
-0.208617 -0.446446  0 
-0.212711 -0.45045  0 
-0.216842 -0.454454  0 
-0.221009 -0.458458  0 
-0.222222 -0.459614  0 
-0.225409 -0.462462  0 
-0.229926 -0.466466  0 
-0.234483 -0.47047  0 
-0.239079 -0.474474  0 
-0.243713 -0.478478  0 
-0.248387 -0.482482  0 
-0.2531 -0.486486  0 
-0.257851 -0.49049  0 
-0.262626 -0.494482  0 
-0.267877 -0.498498  0 
-0.273153 -0.502503  0 
-0.278472 -0.506507  0 
-0.283833 -0.510511  0 
-0.289236 -0.514515  0 
-0.294681 -0.518519  0 
-0.300168 -0.522523  0 
-0.30303 -0.524595  0 
-0.305984 -0.526527  0 
-0.312152 -0.530531  0 
-0.318367 -0.534535  0 
-0.324629 -0.538539  0 
-0.330937 -0.542543  0 
-0.337293 -0.546547  0 
-0.343434 -0.550388  0 
-0.343731 -0.550551  0 
-0.35107 -0.554555  0 
-0.358462 -0.558559  0 
-0.365908 -0.562563  0 
-0.373407 -0.566567  0 
-0.380959 -0.570571  0 
-0.383838 -0.572087  0 
-0.389427 -0.574575  0 
-0.398483 -0.578579  0 
